,Urbane_Hitzeinsel,Klimawandel,Tipping_Points,Oekologie,Energiewende,Landwirtschaft,Waermewende,Klimaextreme,Gesundheit,Wasserversorgung,Industrie,Geo_Engineering,Verkehrswende,Invalid
2026-07-28,0,0.0,0,0.0,0.9,0.0,0,0.0,0.9,0,0.0,0,0,0
2026-07-29,0,0.9,0,0.9,1.8,0.0,0,0.0,0.0,0,0.0,0,0,0
2026-07-31,0,0.0,0,0.0,0.9,0.0,0,0.0,0.0,0,0.0,0,0,0
2026-08-02,0,0.9,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0
2026-08-03,0,0.9,0,0.9,0.9,0.9,0,0.0,0.0,0,0.0,0,0,0
2026-08-04,0,0.0,0,0.0,1.8,0.0,0,0.0,0.0,0,0.0,0,0,0
2026-08-05,0,0.9,0,0.0,2.7,0.0,0,0.0,0.0,0,0.0,0,0,0
2026-08-06,0,1.8,0,0.0,1.8,0.0,0,0.0,0.0,0,0.0,0,0,0
2026-08-07,0,1.8,0,0.0,1.8,0.0,0,0.0,0.9,0,0.0,0,0,0
2026-08-10,0,0.0,0,0.0,0.9,0.9,0,0.0,0.0,0,0.0,0,0,0
2026-08-12,0,1.8,0,0.0,0.9,0.0,0,0.0,0.0,0,0.0,0,0,0
2026-08-13,0,2.7,0,0.0,0.9,0.9,0,0.0,0.0,0,0.0,0,0,0
2026-08-14,0,3.6,0,0.0,0.0,1.8,0,0.0,0.0,0,0.0,0,0,0
2026-08-15,0,0.9,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0
2026-08-17,0,0.9,0,0.0,1.8,0.0,0,0.0,0.0,0,0.0,0,0,0
2026-08-18,0,1.8,0,0.0,1.8,0.0,0,0.0,0.9,0,0.0,0,0,0
2026-08-19,0,0.9,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0
2026-08-20,0,4.5,0,0.0,0.0,0.9,0,0.0,0.0,0,0.0,0,0,0
2026-08-23,0,1.8,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0
2026-08-24,0,2.7,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0
2026-08-25,0,0.9,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0
2026-08-26,0,0.9,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0
2026-08-27,0,6.300000000000001,0,0.0,1.8,0.9,0,0.0,0.0,0,0.0,0,0,0
2026-08-28,0,0.0,0,0.0,1.8,0.0,0,0.0,0.0,0,0.0,0,0,0
2026-08-30,0,4.5,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0
2026-08-31,0,5.4,0,0.0,0.9,0.0,0,3.6,0.0,0,0.0,0,0,0
2026-09-01,0,0.9,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0
2026-09-04,0,0.0,0,0.0,0.9,0.0,0,0.0,0.0,0,0.0,0,0,0
2026-09-06,0,0.9,0,0.0,0.0,0.9,0,0.0,0.0,0,0.9,0,0,0
